WK_STRT_DATE,CUST_NUM,DSCNT_NUM,MIXNMTCH_DSCNT_NUM,WFC_DGS1_OFR_NUM,PPC_COUP_SCAN_QTY,MIX_COUP_SCAN_QTY,DGS1_COUP_SCAN_QTY
2018-04-01,335,671948,0,0,3,0,0
2018-04-01,340,671948,0,0,2,0,0
2018-04-01,343,671948,0,0,1,0,0
2018-04-01,348,671948,0,0,1,0,0
2018-04-01,358,671948,0,0,2,0,0
2018-04-01,361,671948,0,0,2,0,0
2018-04-01,384,671948,0,0,1,0,0
2018-04-01,434,671948,0,0,1,0,0
2018-04-01,438,671948,0,0,1,0,0
2018-04-01,510,671948,0,0,1,0,0
2018-04-01,518,671948,0,0,2,0,0
2018-04-01,537,671948,0,0,1,0,0
2018-04-01,545,671948,0,0,3,0,0
2018-04-01,548,671948,0,0,2,0,0
2018-04-01,577,671948,0,0,1,0,0
2018-04-01,611,671948,0,0,2,0,0
2018-04-01,616,671948,0,0,1,0,0
2018-04-01,619,671948,0,0,1,0,0
2018-04-01,620,671948,0,0,1,0,0
2018-04-01,636,671948,0,0,3,0,0
2018-04-01,649,671948,0,0,1,0,0
2018-04-01,650,671948,0,0,2,0,0
2018-04-01,656,671948,0,0,3,0,0
2018-04-01,665,671948,0,0,2,0,0
2018-04-01,690,671948,0,0,1,0,0
2018-04-01,726,671948,0,0,1,0,0
2018-04-01,728,671948,0,0,1,0,0
2018-04-01,737,671948,0,0,2,0,0
2018-04-01,744,671948,0,0,1,0,0
2018-04-01,753,671948,0,0,2,0,0
2018-04-01,760,671948,0,0,1,0,0
2018-04-01,762,671948,0,0,3,0,0
2018-04-01,766,671948,0,0,1,0,0
2018-04-01,772,671948,0,0,3,0,0
2018-04-01,774,671948,0,0,2,0,0
2018-04-01,776,671948,0,0,1,0,0
2018-04-01,327,725923,0,0,8,0,0
2018-04-01,327,725923,0,0,8,0,0
2018-04-01,327,725923,0,0,8,0,0
2018-04-01,327,725923,0,0,8,0,0
2018-04-01,329,725923,0,0,3,0,0
2018-04-01,329,725923,0,0,3,0,0
2018-04-01,329,725923,0,0,3,0,0
2018-04-01,329,725923,0,0,3,0,0
2018-04-01,331,725923,0,0,6,0,0
2018-04-01,331,725923,0,0,6,0,0
2018-04-01,331,725923,0,0,6,0,0
2018-04-01,331,725923,0,0,6,0,0
2018-04-01,332,725923,0,0,4,0,0
2018-04-01,332,725923,0,0,4,0,0
2018-04-01,332,725923,0,0,4,0,0
2018-04-01,332,725923,0,0,4,0,0
2018-04-01,333,725923,0,0,2,0,0
2018-04-01,333,725923,0,0,2,0,0
2018-04-01,333,725923,0,0,2,0,0
2018-04-01,335,725923,0,0,4,0,0
2018-04-01,335,725923,0,0,4,0,0
2018-04-01,335,725923,0,0,4,0,0
2018-04-01,335,725923,0,0,4,0,0
